num_particles,inertia,cognition,social,gen,epoch_stop,solution_found,fitness
40, 0.5, 2.6, 1.1, 11, 124, [1. 3.], 6.847615938443269e-20
40, 0.5, 2.6, 1.1, 12, 136, [1. 3.], 8.897271296972037e-23
40, 0.5, 2.6, 1.1, 13, 119, [1. 3.], 1.6350370450870583e-19
40, 0.5, 2.6, 1.1, 14, 112, [1. 3.], 5.894467594418138e-19
40, 0.5, 2.6, 1.1, 15, 108, [1.         3.00000001], 7.315064503212232e-16
40, 0.5, 2.6, 1.1, 16, 112, [1. 3.], 3.9710730517386134e-17
40, 0.5, 2.6, 1.1, 17, 116, [1. 3.], 1.383709218704426e-18
40, 0.5, 2.6, 1.1, 18, 125, [1. 3.], 4.4118160377891935e-20
40, 0.5, 2.6, 1.1, 19, 120, [1. 3.], 2.784277218237065e-20
40, 0.5, 2.6, 1.2, 0, 119, [1. 3.], 5.649897236253844e-18
40, 0.5, 2.6, 1.2, 1, 132, [1. 3.], 4.213732589988363e-20
40, 0.5, 2.6, 1.2, 2, 130, [1. 3.], 5.701382832460914e-20
40, 0.5, 2.6, 1.2, 3, 145, [1. 3.], 4.073775860533056e-20
40, 0.5, 2.6, 1.2, 4, 118, [1. 3.], 6.49939377844861e-19
40, 0.5, 2.6, 1.2, 5, 129, [1. 3.], 2.139696696141396e-18
40, 0.5, 2.6, 1.2, 6, 121, [1. 3.], 4.6785935166875694e-17
40, 0.5, 2.6, 1.2, 7, 130, [1. 3.], 3.410477388186957e-20
40, 0.5, 2.6, 1.2, 8, 123, [1. 3.], 1.2094569142111922e-19
40, 0.5, 2.6, 1.2, 9, 171, [1. 3.], 1.3359043885555747e-25
40, 0.5, 2.6, 1.2, 10, 132, [1. 3.], 1.874470220399999e-21
40, 0.5, 2.6, 1.2, 11, 129, [1. 3.], 3.436478942238259e-19
40, 0.5, 2.6, 1.2, 12, 124, [1. 3.], 3.9196142932685306e-18
40, 0.5, 2.6, 1.2, 13, 111, [1. 3.], 1.6654497038102577e-18
40, 0.5, 2.6, 1.2, 14, 128, [1. 3.], 5.391935563923846e-20
40, 0.5, 2.6, 1.2, 15, 132, [1. 3.], 2.790083844367857e-22
40, 0.5, 2.6, 1.2, 16, 131, [1. 3.], 5.088433310912857e-20
40, 0.5, 2.6, 1.2, 17, 157, [1. 3.], 1.2411779710566356e-24
40, 0.5, 2.6, 1.2, 18, 138, [1. 3.], 1.3230026142992808e-19
40, 0.5, 2.6, 1.2, 19, 136, [1. 3.], 8.971248274526512e-21
40, 0.5, 2.6, 1.3, 0, 153, [1. 3.], 1.0053201069526227e-21
40, 0.5, 2.6, 1.3, 1, 130, [1. 3.], 1.174313153630809e-18
40, 0.5, 2.6, 1.3, 2, 156, [1. 3.], 6.607070914092631e-22
40, 0.5, 2.6, 1.3, 3, 144, [1. 3.], 1.299889462998185e-21
40, 0.5, 2.6, 1.3, 4, 127, [1. 3.], 6.734634530391859e-18
40, 0.5, 2.6, 1.3, 5, 134, [1. 3.], 2.5315490224374335e-20
40, 0.5, 2.6, 1.3, 6, 123, [1. 3.], 1.35046011531394e-17
40, 0.5, 2.6, 1.3, 7, 125, [1. 3.], 1.5916371135498548e-18
40, 0.5, 2.6, 1.3, 8, 126, [1. 3.], 8.83677762546177e-21
40, 0.5, 2.6, 1.3, 9, 146, [1. 3.], 5.453367748775081e-23
40, 0.5, 2.6, 1.3, 10, 167, [1. 3.], 4.519731224809474e-25
40, 0.5, 2.6, 1.3, 11, 163, [1. 3.], 1.0490879740526035e-23
40, 0.5, 2.6, 1.3, 12, 130, [1. 3.], 8.886163923166144e-18
40, 0.5, 2.6, 1.3, 13, 132, [1. 3.], 1.0118298652397362e-21
40, 0.5, 2.6, 1.3, 14, 157, [1. 3.], 1.6654580525737088e-23
40, 0.5, 2.6, 1.3, 15, 158, [1. 3.], 1.77016450715678e-23
40, 0.5, 2.6, 1.3, 16, 152, [1. 3.], 2.621937713279666e-21
40, 0.5, 2.6, 1.3, 17, 149, [1. 3.], 2.333233620894817e-24
40, 0.5, 2.6, 1.3, 18, 141, [1. 3.], 1.900316906934996e-20
40, 0.5, 2.6, 1.3, 19, 121, [1. 3.], 1.3332152261677793e-18
40, 0.5, 2.6, 1.4, 0, 144, [1. 3.], 4.095951263120282e-20
40, 0.5, 2.6, 1.4, 1, 145, [1. 3.], 1.7508403345530754e-21
40, 0.5, 2.6, 1.4, 2, 180, [1. 3.], 1.3773542959595075e-24
40, 0.5, 2.6, 1.4, 3, 151, [1. 3.], 3.9064606912255087e-22
40, 0.5, 2.6, 1.4, 4, 178, [1. 3.], 1.337056835452012e-23
40, 0.5, 2.6, 1.4, 5, 143, [1. 3.], 7.408056329803547e-21
40, 0.5, 2.6, 1.4, 6, 162, [1. 3.], 7.702567251766416e-23
40, 0.5, 2.6, 1.4, 7, 183, [1. 3.], 4.2284522241656675e-26
40, 0.5, 2.6, 1.4, 8, 178, [1. 3.], 2.016805734592565e-24
40, 0.5, 2.6, 1.4, 9, 173, [1. 3.], 4.649869608343784e-25
40, 0.5, 2.6, 1.4, 10, 152, [1. 3.], 4.399855740214081e-21
40, 0.5, 2.6, 1.4, 11, 150, [1. 3.], 2.1800180324156008e-20
40, 0.5, 2.6, 1.4, 12, 164, [1. 3.], 3.1145619773217994e-22
40, 0.5, 2.6, 1.4, 13, 145, [1. 3.], 6.960575277928628e-21
40, 0.5, 2.6, 1.4, 14, 163, [1. 3.], 7.409184280202294e-23
40, 0.5, 2.6, 1.4, 15, 163, [1. 3.], 2.424642878287302e-25
40, 0.5, 2.6, 1.4, 16, 156, [1. 3.], 5.401650106714882e-23
40, 0.5, 2.6, 1.4, 17, 150, [1. 3.], 9.322129140216094e-23
40, 0.5, 2.6, 1.4, 18, 169, [1. 3.], 8.543994692267735e-26
40, 0.5, 2.6, 1.4, 19, 211, [1. 3.], 5.837570698635487e-29
40, 0.5, 2.6, 1.5, 0, 172, [1. 3.], 1.9204818737605532e-26
